Fecha;TCC;TCV;TCPP;Compra oficial;Venta oficial;
1-ene-10;6,9743;7,0800;7,0245;6,97;7,07;
2-ene-10;6,9879;7,0798;7,0395;6,97;7,07;
3-ene-10;6,9743;7,0800;7,0503;6,97;7,07;
4-ene-10;7,0566;7,0759;7,0673;6,97;7,07;
5-ene-10;6,9882;7,0768;7,0546;6,97;7,07;
6-ene-10;6,9976;7,0774;7,0560;6,97;7,07;
7-ene-10;6,9890;7,0742;7,0510;6,97;7,07;
8-ene-10;6,9815;7,0767;7,0481;6,97;7,07;
9-ene-10;6,9892;7,0797;7,0472;6,97;7,07;
10-ene-10;6,9784;7,0800;7,0537;6,97;7,07;
11-ene-10;6,9979;7,0767;7,0541;6,97;7,07;
12-ene-10;7,0170;7,0764;7,0568;6,97;7,07;
13-ene-10;7,0550;7,0769;7,0633;6,97;7,07;
14-ene-10;6,9966;7,0766;7,0521;6,97;7,07;
15-ene-10;7,0107;7,0771;7,0480;6,97;7,07;
16-ene-10;6,9831;7,0797;7,0512;6,97;7,07;
17-ene-10;6,9826;7,0800;7,0430;6,97;7,07;
18-ene-10;6,9892;7,0769;7,0513;6,97;7,07;
19-ene-10;7,0004;7,0760;7,0533;6,97;7,07;
20-ene-10;7,0467;7,0766;7,0623;6,97;7,07;
21-ene-10;7,0293;7,0756;7,0593;6,97;7,07;
22-ene-10;7,0062;7,0800;7,0296;6,97;7,07;
23-ene-10;7,0014;7,0790;7,0440;6,97;7,07;
24-ene-10;6,9824;7,0800;7,0301;6,97;7,07;
25-ene-10;7,0053;7,0746;7,0489;6,97;7,07;
26-ene-10;7,0142;7,0751;7,0561;6,97;7,07;
27-ene-10;7,0409;7,0737;7,0652;6,97;7,07;
28-ene-10;7,0784;7,0775;7,0779;6,97;7,07;
29-ene-10;7,0240;7,0766;7,0566;6,97;7,07;
30-ene-10;6,9697;7,0798;7,0452;6,97;7,07;
31-ene-10;6,9843;7,0800;7,0378;6,97;7,07;
1-feb-10;7,0106;7,0755;7,0556;6,97;7,07;
2-feb-10;7,0132;7,0735;7,0593;6,97;7,07;
3-feb-10;7,0232;7,0773;7,0503;6,97;7,07;
4-feb-10;7,0072;7,0769;7,0516;6,97;7,07;
5-feb-10;6,9893;7,0764;7,0444;6,97;7,07;
6-feb-10;6,9909;7,0753;7,0484;6,97;7,07;
7-feb-10;6,9838;7,0800;7,0421;6,97;7,07;
8-feb-10;7,0002;7,0775;7,0327;6,97;7,07;
9-feb-10;6,9904;7,0774;7,0251;6,97;7,07;
10-feb-10;7,0267;7,0727;7,0641;6,97;7,07;
11-feb-10;7,0290;7,0750;7,0629;6,97;7,07;
12-feb-10;7,0189;7,0769;7,0529;6,97;7,07;
13-feb-10;7,0232;7,0797;7,0491;6,97;7,07;
14-feb-10;6,9803;7,0800;7,0375;6,97;7,07;
15-feb-10;6,9889;7,0800;7,0137;6,97;7,07;
16-feb-10;6,9827;7,0800;7,0147;6,97;7,07;
17-feb-10;7,0300;7,0764;7,0558;6,97;7,07;
18-feb-10;7,0139;7,0758;7,0549;6,97;7,07;
